number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_units_layer_0,params_hidden_units_layer_1,params_hidden_units_layer_2,params_hidden_units_layer_3,params_hidden_units_layer_4,params_hidden_units_layer_5,params_hidden_units_layer_6,params_hidden_units_layer_7,params_hidden_units_layer_8,params_hidden_units_layer_9,params_lr,params_n_layers,params_use_residual,state
0,0.4574247701288606,2025-11-30 17:20:27.308662,2025-11-30 17:20:54.934776,0 days 00:00:27.626114,tanh,0.4753571532049581,512,2048.0,512.0,2048.0,,,,,,,0.0056327334816730175,4,True,COMPLETE
1,0.2937982593047737,2025-11-30 17:20:54.935261,2025-11-30 17:21:17.063586,0 days 00:00:22.128325,tanh,0.048836057003191935,32,32.0,1024.0,1024.0,,,,,,,0.0009067865433891704,4,True,COMPLETE
2,0.5569886433061899,2025-11-30 17:21:17.064279,2025-11-30 17:21:33.931308,0 days 00:00:16.867029,leaky_relu,0.4077307142274171,64,,,,,,,,,,0.004448458336296336,1,False,COMPLETE
3,0.2834925929083238,2025-11-30 17:21:33.931711,2025-11-30 17:22:07.259352,0 days 00:00:33.327641,leaky_relu,0.44360637128816327,32,256.0,512.0,2048.0,1024.0,1024.0,256.0,,,,0.0012314639717532618,7,True,COMPLETE
4,0.32117329862875843,2025-11-30 17:22:07.260162,2025-11-30 17:22:25.994958,0 days 00:00:18.734796,tanh,0.018443473677266398,256,64.0,32.0,,,,,,,,0.0023185605052947317,3,False,COMPLETE
5,0.4856209700912559,2025-11-30 17:22:25.995600,2025-11-30 17:22:28.201776,0 days 00:00:02.206176,relu,0.32258639520472493,128,1024.0,256.0,,,,,,,,0.00064333713790388,3,True,PRUNED
6,0.7081568704641014,2025-11-30 17:22:28.202148,2025-11-30 17:22:28.622115,0 days 00:00:00.419967,tanh,0.4492770942635396,1024,256.0,,,,,,,,,0.0015044553186279168,2,True,PRUNED
7,0.3658022658691765,2025-11-30 17:22:28.622541,2025-11-30 17:22:38.002873,0 days 00:00:09.380332,tanh,0.12199482168954179,512,256.0,128.0,,,,,,,,0.006402127874573824,3,False,PRUNED
8,0.24657677988156673,2025-11-30 17:22:38.003293,2025-11-30 17:23:04.537563,0 days 00:00:26.534270,relu,0.08474637334304624,64,2048.0,2048.0,256.0,,,,,,,0.0011796923641565372,4,True,COMPLETE
9,0.2725925686900601,2025-11-30 17:23:04.538066,2025-11-30 17:23:26.628293,0 days 00:00:22.090227,relu,0.015250124969524714,32,128.0,256.0,512.0,32.0,1024.0,,,,,0.002069590294885937,6,False,COMPLETE
10,0.23731080588463221,2025-11-30 17:23:26.628793,2025-11-30 17:24:03.433301,0 days 00:00:36.804508,relu,0.1891285776338534,64,2048.0,2048.0,256.0,2048.0,32.0,512.0,256.0,64.0,1024.0,0.0005750230261736979,10,True,COMPLETE
11,0.23273461820687355,2025-11-30 17:24:03.433857,2025-11-30 17:24:40.517260,0 days 00:00:37.083403,relu,0.18118167310193878,64,2048.0,2048.0,256.0,2048.0,32.0,512.0,256.0,64.0,1024.0,0.0005077669044106619,10,True,COMPLETE
12,0.2497222431245202,2025-11-30 17:24:40.517863,2025-11-30 17:25:17.714573,0 days 00:00:37.196710,relu,0.18779647743059782,2048,512.0,2048.0,256.0,2048.0,32.0,512.0,256.0,64.0,1024.0,0.0005728182657343404,10,True,COMPLETE
13,0.2327442878909663,2025-11-30 17:25:17.715224,2025-11-30 17:25:52.894813,0 days 00:00:35.179589,relu,0.24985038326975956,64,2048.0,2048.0,32.0,2048.0,32.0,512.0,256.0,64.0,1024.0,0.0005174811235888377,10,True,COMPLETE
14,7.691112739227275,2025-11-30 17:25:52.895504,2025-11-30 17:25:53.617943,0 days 00:00:00.722439,relu,0.2941482295882934,64,2048.0,64.0,32.0,2048.0,2048.0,32.0,512.0,,,0.009633701754724042,8,True,PRUNED
15,0.23971954024642522,2025-11-30 17:25:53.618551,2025-11-30 17:26:26.419213,0 days 00:00:32.800662,relu,0.24669790298064614,64,2048.0,2048.0,64.0,256.0,128.0,512.0,1024.0,,,0.0008593352432176594,8,True,COMPLETE
16,0.5979214235241831,2025-11-30 17:26:26.419767,2025-11-30 17:26:27.070076,0 days 00:00:00.650309,relu,0.35322797851488263,128,32.0,2048.0,128.0,512.0,512.0,1024.0,256.0,512.0,,0.0005009749281998702,9,True,PRUNED
17,0.25105401720384324,2025-11-30 17:26:27.070463,2025-11-30 17:27:00.167556,0 days 00:00:33.097093,leaky_relu,0.19296801029531213,2048,1024.0,128.0,32.0,64.0,64.0,128.0,128.0,2048.0,,0.0008116611316679841,9,True,COMPLETE
18,0.671794799813161,2025-11-30 17:27:00.168030,2025-11-30 17:27:00.604394,0 days 00:00:00.436364,relu,0.25697254015445486,256,64.0,32.0,32.0,128.0,256.0,,,,,0.002256870521712738,6,False,PRUNED
19,37.7429618270548,2025-11-30 17:27:00.604745,2025-11-30 17:27:01.318166,0 days 00:00:00.713421,relu,0.13290536349195803,1024,128.0,1024.0,128.0,2048.0,32.0,2048.0,32.0,64.0,512.0,0.0035639954564817226,10,True,PRUNED
20,0.5610743140364792,2025-11-30 17:27:01.318517,2025-11-30 17:27:01.938692,0 days 00:00:00.620175,leaky_relu,0.23903108972516474,64,512.0,64.0,512.0,2048.0,32.0,64.0,2048.0,,,0.0007635912941188263,8,True,PRUNED
21,0.2355480683399654,2025-11-30 17:27:01.939242,2025-11-30 17:27:39.410347,0 days 00:00:37.471105,relu,0.18518867656046542,64,2048.0,2048.0,256.0,2048.0,32.0,512.0,256.0,64.0,1024.0,0.0005120899936840132,10,True,COMPLETE
22,0.24427663779344472,2025-11-30 17:27:39.411051,2025-11-30 17:28:15.231623,0 days 00:00:35.820572,relu,0.13660452192740163,64,2048.0,2048.0,256.0,2048.0,32.0,512.0,64.0,256.0,,0.0010587598933671054,9,True,COMPLETE
23,0.4843289440382301,2025-11-30 17:28:15.232193,2025-11-30 17:28:16.796102,0 days 00:00:01.563909,relu,0.20997017872716642,64,2048.0,2048.0,256.0,2048.0,32.0,512.0,256.0,128.0,1024.0,0.0005008114455499275,10,True,PRUNED
24,0.23172511438726243,2025-11-30 17:28:16.796500,2025-11-30 17:28:47.785495,0 days 00:00:30.988995,relu,0.28462826083077036,64,2048.0,2048.0,64.0,512.0,32.0,512.0,,,,0.0006571841573210584,7,True,COMPLETE
25,0.5485581151332516,2025-11-30 17:28:47.786074,2025-11-30 17:28:48.439932,0 days 00:00:00.653858,relu,0.3719348976156341,64,2048.0,2048.0,64.0,512.0,128.0,512.0,,,,0.000694421284679397,7,True,PRUNED
26,0.6889863330591096,2025-11-30 17:28:48.440531,2025-11-30 17:28:48.987417,0 days 00:00:00.546886,relu,0.2710403403800531,64,2048.0,2048.0,64.0,512.0,64.0,32.0,,,,0.0015613285730871906,7,False,PRUNED
27,0.48534502907058563,2025-11-30 17:28:48.988196,2025-11-30 17:28:50.410337,0 days 00:00:01.422141,relu,0.3086590845890778,128,2048.0,2048.0,1024.0,256.0,,,,,,0.0006896924920448832,5,True,PRUNED
28,0.567024231448798,2025-11-30 17:28:50.410730,2025-11-30 17:28:51.051326,0 days 00:00:00.640596,leaky_relu,0.347236045082534,1024,64.0,512.0,32.0,64.0,256.0,256.0,64.0,32.0,,0.0009349377104543814,9,True,PRUNED
29,0.800965567257532,2025-11-30 17:28:51.051654,2025-11-30 17:28:51.772109,0 days 00:00:00.720455,relu,0.2218418197157768,512,1024.0,64.0,64.0,1024.0,512.0,1024.0,2048.0,,,0.0015977203388857417,8,True,PRUNED
30,0.5515228449756105,2025-11-30 17:28:51.772461,2025-11-30 17:28:52.507405,0 days 00:00:00.734944,tanh,0.16298155780258833,2048,2048.0,256.0,32.0,128.0,,,,,,0.0006507495140794481,5,True,PRUNED
