number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_units_layer_0,params_hidden_units_layer_1,params_hidden_units_layer_2,params_hidden_units_layer_3,params_hidden_units_layer_4,params_hidden_units_layer_5,params_hidden_units_layer_6,params_hidden_units_layer_7,params_hidden_units_layer_8,params_hidden_units_layer_9,params_lr,params_n_layers,params_use_residual,state
26,0.25437654193423614,2025-11-30 17:04:17.991805,2025-11-30 17:04:58.696897,0 days 00:00:40.705092,relu,0.0006194955208964452,32,128.0,2048.0,1024.0,64.0,512.0,128.0,512.0,,,0.0007116944978612181,8,True,COMPLETE
27,0.25379316235031546,2025-11-30 17:04:58.697441,2025-11-30 17:05:39.417922,0 days 00:00:40.720481,relu,0.0007092724952406616,32,128.0,2048.0,1024.0,64.0,512.0,128.0,512.0,,,0.0006497504962407564,8,True,COMPLETE
28,0.3106819617655113,2025-11-30 17:05:39.418387,2025-11-30 17:05:56.750053,0 days 00:00:17.331666,leaky_relu,0.1164026828433319,32,128.0,2048.0,1024.0,64.0,512.0,128.0,512.0,2048.0,256.0,0.0006869145066176974,10,True,PRUNED
29,0.2558072120630842,2025-11-30 17:05:56.750465,2025-11-30 17:06:37.918367,0 days 00:00:41.167902,relu,0.007652220314155429,512,128.0,2048.0,1024.0,64.0,512.0,128.0,512.0,,,0.0009304933115262779,8,True,COMPLETE
30,0.5552997578275848,2025-11-30 17:06:37.918799,2025-11-30 17:06:38.820649,0 days 00:00:00.901850,tanh,0.05256235470741974,32,128.0,2048.0,1024.0,64.0,512.0,128.0,32.0,256.0,,0.0006204883026135757,9,True,PRUNED
31,0.27742618415519543,2025-11-30 17:06:38.820999,2025-11-30 17:07:13.572380,0 days 00:00:34.751381,relu,0.018555492705403208,32,128.0,2048.0,1024.0,64.0,512.0,128.0,2048.0,512.0,,0.0007944348719172016,9,True,PRUNED
32,0.24556620351778913,2025-11-30 17:07:13.572780,2025-11-30 17:07:48.515357,0 days 00:00:34.942577,relu,0.0007558045565604216,32,128.0,512.0,128.0,256.0,256.0,1024.0,,,,0.0010183662446393788,7,True,COMPLETE
33,0.2616967932661077,2025-11-30 17:07:48.515806,2025-11-30 17:08:23.931596,0 days 00:00:35.415790,relu,0.04952161926358327,32,128.0,512.0,128.0,256.0,256.0,1024.0,,,,0.00105046141131666,7,True,COMPLETE
34,0.550665561271957,2025-11-30 17:08:23.932861,2025-11-30 17:08:24.680523,0 days 00:00:00.747662,relu,0.09084905107128254,32,32.0,512.0,128.0,256.0,256.0,1024.0,512.0,,,0.0006284077992599048,8,True,PRUNED
35,0.632521352154314,2025-11-30 17:08:24.680933,2025-11-30 17:08:25.560178,0 days 00:00:00.879245,leaky_relu,0.4971509633507085,32,128.0,512.0,2048.0,1024.0,128.0,512.0,,,,0.0014193747089256926,7,True,PRUNED
