number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_units_layer_0,params_hidden_units_layer_1,params_hidden_units_layer_2,params_hidden_units_layer_3,params_hidden_units_layer_4,params_hidden_units_layer_5,params_hidden_units_layer_6,params_hidden_units_layer_7,params_hidden_units_layer_8,params_hidden_units_layer_9,params_lr,params_n_layers,params_use_residual,state
0,0.6551268047355017,2025-11-30 19:06:46.359606,2025-11-30 19:08:04.499764,0 days 00:01:18.140158,tanh,0.4753571532049581,256,256.0,1024.0,512.0,,,,,,,0.001498365454855079,4,True,COMPLETE
1,3.6586625029025703,2025-11-30 19:08:04.500507,2025-11-30 19:09:22.810348,0 days 00:01:18.309841,leaky_relu,0.3925879806965068,2048,256.0,1024.0,256.0,2048.0,,,,,,0.005098483969585743,5,False,COMPLETE
2,0.5512929565499777,2025-11-30 19:09:22.810977,2025-11-30 19:12:35.307717,0 days 00:03:12.496740,relu,0.4474136752138244,2048,1024.0,1024.0,1024.0,512.0,512.0,2048.0,512.0,2048.0,512.0,0.0006907803691475427,10,True,COMPLETE
3,0.6801368928545262,2025-11-30 19:12:35.308324,2025-11-30 19:13:37.551580,0 days 00:01:02.243256,leaky_relu,0.3182052056318902,256,,,,,,,,,,0.0008104453503601763,1,False,COMPLETE
4,1.0009461742582078,2025-11-30 19:13:37.552077,2025-11-30 19:16:32.347539,0 days 00:02:54.795462,relu,0.4040601897822085,1024,2048.0,256.0,2048.0,1024.0,256.0,2048.0,2048.0,2048.0,1024.0,0.004429975427076119,10,False,COMPLETE
5,0.8992295145355524,2025-11-30 19:16:32.348148,2025-11-30 19:16:35.358576,0 days 00:00:03.010428,tanh,0.31615291529678974,2048,2048.0,2048.0,2048.0,,,,,,,0.006924920938758468,4,True,PRUNED
6,0.7803416905397141,2025-11-30 19:16:35.359306,2025-11-30 19:17:05.324316,0 days 00:00:29.965010,tanh,0.3299920230170895,512,1024.0,256.0,,,,,,,,0.007379313418402239,3,True,PRUNED
7,0.6872511309869166,2025-11-30 19:17:05.324741,2025-11-30 19:18:36.667293,0 days 00:01:31.342552,relu,0.004598525808314824,2048,1024.0,256.0,2048.0,512.0,512.0,256.0,,,,0.000849955739296709,7,False,COMPLETE
8,1.0106327390227718,2025-11-30 19:18:36.668018,2025-11-30 19:18:39.703163,0 days 00:00:03.035145,tanh,0.4769642885012937,256,512.0,512.0,1024.0,512.0,2048.0,1024.0,512.0,512.0,512.0,0.002540779350071819,10,True,PRUNED
9,0.5632451083034847,2025-11-30 19:18:39.704163,2025-11-30 19:20:22.611708,0 days 00:01:42.907545,leaky_relu,0.2954166302845054,512,2048.0,1024.0,,,,,,,,0.00131566724604786,3,True,COMPLETE
10,0.5359221767809565,2025-11-30 19:20:22.612285,2025-11-30 19:22:43.529875,0 days 00:02:20.917590,relu,0.17353601063019825,1024,1024.0,512.0,1024.0,256.0,512.0,2048.0,1024.0,,,0.0005369038908857041,8,True,COMPLETE
11,0.5370666475723754,2025-11-30 19:22:43.530516,2025-11-30 19:25:04.846326,0 days 00:02:21.315810,relu,0.17125799686887833,1024,1024.0,512.0,1024.0,256.0,512.0,2048.0,1024.0,,,0.000552925027315312,8,True,COMPLETE
12,0.5328529579847305,2025-11-30 19:25:04.846898,2025-11-30 19:26:56.935973,0 days 00:01:52.089075,relu,0.1713996441331581,1024,1024.0,512.0,1024.0,256.0,512.0,2048.0,,,,0.0005190780399449971,7,True,COMPLETE
13,0.5511028851662599,2025-11-30 19:26:56.936538,2025-11-30 19:28:49.682138,0 days 00:01:52.745600,relu,0.17105838687940253,1024,1024.0,512.0,1024.0,256.0,512.0,512.0,1024.0,,,0.00130592779958993,8,True,COMPLETE
14,0.5379233296413536,2025-11-30 19:28:49.682821,2025-11-30 19:30:51.950659,0 days 00:02:02.267838,relu,0.1531221286499025,1024,512.0,512.0,1024.0,256.0,1024.0,2048.0,,,,0.000520135573718254,7,True,COMPLETE
15,0.7597662232284258,2025-11-30 19:30:51.951196,2025-11-30 19:30:54.186829,0 days 00:00:02.235633,relu,0.0935101411722753,1024,1024.0,512.0,256.0,256.0,512.0,2048.0,,,,0.002365596561097876,7,True,PRUNED
16,0.6072184892778075,2025-11-30 19:30:54.187352,2025-11-30 19:31:05.358537,0 days 00:00:11.171185,relu,0.23765652857514555,1024,1024.0,2048.0,512.0,256.0,1024.0,512.0,256.0,,,0.0010310442112164116,8,True,PRUNED
17,0.6044077097961519,2025-11-30 19:31:05.359046,2025-11-30 19:33:29.421852,0 days 00:02:24.062806,relu,0.07616088030066458,1024,1024.0,512.0,1024.0,2048.0,2048.0,,,,,0.0005176813782403085,6,True,COMPLETE
18,0.8529311715765374,2025-11-30 19:33:29.422328,2025-11-30 19:33:31.372122,0 days 00:00:01.949794,relu,0.22917435720352886,1024,256.0,512.0,1024.0,1024.0,256.0,256.0,1024.0,1024.0,,0.001731206772900067,9,False,PRUNED
19,0.7568800430716258,2025-11-30 19:33:31.372529,2025-11-30 19:33:33.205410,0 days 00:00:01.832881,leaky_relu,0.08862178715778896,512,512.0,512.0,1024.0,256.0,512.0,,,,,0.0038140898417061402,6,True,PRUNED
20,0.6075368085619756,2025-11-30 19:33:33.205978,2025-11-30 19:33:42.416379,0 days 00:00:09.210401,relu,0.21318188651525322,1024,1024.0,2048.0,512.0,256.0,512.0,1024.0,256.0,256.0,,0.001059669912678148,9,True,PRUNED
21,0.5334732470456425,2025-11-30 19:33:42.416873,2025-11-30 19:36:05.798530,0 days 00:02:23.381657,relu,0.1582002900831951,1024,1024.0,512.0,1024.0,256.0,512.0,2048.0,1024.0,,,0.0005083960081144538,8,True,COMPLETE
22,0.6073662679305669,2025-11-30 19:36:05.799085,2025-11-30 19:36:14.900905,0 days 00:00:09.101820,relu,0.140679588061691,1024,1024.0,512.0,1024.0,256.0,512.0,2048.0,1024.0,256.0,,0.000700817541102261,9,True,PRUNED
23,0.6013154310272012,2025-11-30 19:36:14.901332,2025-11-30 19:38:06.692044,0 days 00:01:51.790712,relu,0.021372590039820782,1024,1024.0,512.0,1024.0,256.0,512.0,2048.0,,,,0.0006979857090180344,7,True,COMPLETE
24,0.5441749770164623,2025-11-30 19:38:06.692616,2025-11-30 19:40:21.071702,0 days 00:02:14.379086,relu,0.12109708011739481,1024,1024.0,512.0,256.0,256.0,512.0,2048.0,1024.0,,,0.0006300089136902016,8,True,COMPLETE
25,0.679883772165595,2025-11-30 19:40:21.072243,2025-11-30 19:40:23.896946,0 days 00:00:02.824703,relu,0.1957766117924119,1024,1024.0,512.0,1024.0,2048.0,256.0,,,,,0.0009420814133697772,6,True,PRUNED
26,0.6893426193377484,2025-11-30 19:40:23.897595,2025-11-30 19:40:25.747285,0 days 00:00:01.849690,relu,0.28047094829023556,1024,1024.0,512.0,1024.0,1024.0,,,,,,0.0005079351494723296,5,False,PRUNED
27,0.6210221010279152,2025-11-30 19:40:25.747743,2025-11-30 19:40:33.721486,0 days 00:00:07.973743,relu,0.04850455413155666,512,256.0,512.0,1024.0,256.0,2048.0,2048.0,2048.0,1024.0,,0.000654266508458209,9,True,PRUNED
28,1.060687939148301,2025-11-30 19:40:33.721936,2025-11-30 19:40:38.413389,0 days 00:00:04.691453,tanh,0.25913590144604265,256,2048.0,2048.0,1024.0,256.0,1024.0,2048.0,1024.0,,,0.002899574201707781,8,True,PRUNED
29,0.6197641790787635,2025-11-30 19:40:38.413852,2025-11-30 19:40:42.191937,0 days 00:00:03.778085,leaky_relu,0.11900869412213205,256,512.0,256.0,256.0,256.0,512.0,256.0,,,,0.0017555619569540961,7,True,PRUNED
30,0.7379175656931484,2025-11-30 19:40:42.192298,2025-11-30 19:40:44.141604,0 days 00:00:01.949306,tanh,0.19630387512031916,1024,256.0,1024.0,512.0,256.0,,,,,,0.0012134393201326155,5,True,PRUNED
31,0.5846263423501671,2025-11-30 19:40:44.142054,2025-11-30 19:40:59.472657,0 days 00:00:15.330603,relu,0.16751704327340572,1024,1024.0,512.0,1024.0,256.0,512.0,2048.0,1024.0,,,0.0005794286401362728,8,True,PRUNED
32,0.6316798448279465,2025-11-30 19:40:59.473180,2025-11-30 19:41:06.043021,0 days 00:00:06.569841,relu,0.1855505276187037,1024,1024.0,512.0,1024.0,256.0,512.0,2048.0,1024.0,512.0,,0.0007621070790536835,9,True,PRUNED
33,0.5415304596278859,2025-11-30 19:41:06.044228,2025-11-30 19:43:32.974339,0 days 00:02:26.930111,relu,0.12754809678427498,1024,1024.0,512.0,1024.0,256.0,512.0,2048.0,1024.0,,,0.0005910741891563321,8,True,COMPLETE
34,0.7083980136865742,2025-11-30 19:43:32.974983,2025-11-30 19:43:34.830409,0 days 00:00:01.855426,relu,0.25581140130267915,2048,1024.0,512.0,1024.0,256.0,512.0,,,,,0.0008932492942758364,6,False,PRUNED
35,0.7189183829549273,2025-11-30 19:43:34.830839,2025-11-30 19:43:38.668466,0 days 00:00:03.837627,leaky_relu,0.21798487318909898,1024,1024.0,1024.0,2048.0,2048.0,512.0,2048.0,,,,0.0007765552683269206,7,True,PRUNED
36,51.044641450778286,2025-11-30 19:43:38.669022,2025-11-30 19:43:41.084482,0 days 00:00:02.415460,relu,0.060445983491975,1024,256.0,512.0,512.0,512.0,512.0,512.0,1024.0,512.0,256.0,0.009844445339375448,10,True,PRUNED
37,0.765419456751233,2025-11-30 19:43:41.084962,2025-11-30 19:43:42.437831,0 days 00:00:01.352869,relu,0.3608216505938876,2048,,,,,,,,,,0.0005946313707952426,1,False,PRUNED
